disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Aggressive periodontitis	10034539	MONDO:0980757	periodontitis, aggressive		token_subset_narrower	0.75	review			110
Multiple Sclerosis	10028245	MONDO:0005301	multiple sclerosis	D009103	mondo_label	1.0	confirmed			105
Sjögren Syndrome	10040767	MONDO:0010030	Sjogren syndrome	D012859	mondo_exact_synonym	0.95	confirmed			96
Celiac Disease, Coaliac disease	10009839	MONDO:0005130	celiac disease	D002446	token_subset_broader	0.75	review			93
Type 1 Diabetes	10067584	MONDO:0005147	type 1 diabetes mellitus	D003922	mondo_exact_synonym	0.95	confirmed			90
Alcoholism	10001639	MONDO:0007079	alcohol dependence		mondo_exact_synonym	0.95	confirmed			85
Oral cancer	10024535	MONDO:0023644	lip and oral cavity carcinoma		mondo_exact_synonym	0.95	confirmed			83
Coronary artery disease	10011078	MONDO:0005010	coronary artery disorder	D003324	mondo_exact_synonym	0.95	confirmed			82
Hepatocellular cancer	10073071	MONDO:0007256	hepatocellular carcinoma	D006528	mondo_exact_synonym	0.95	confirmed			82
Systemic lupus erythematosus	10042945	MONDO:0007915	systemic lupus erythematosus	D008180	mondo_label	1.0	confirmed			76
Clostridium difficile infection	10054236	MONDO:0000705	Clostridium difficile colitis	D004761	mondo_exact_synonym	0.95	confirmed			75
Short Bowel Syndrome	10049416	MONDO:0015183	short bowel syndrome	D012778	mondo_label	1.0	confirmed	yes		71
Aerobic vaginitis	10079528	MONDO:0002234	vaginitis	D014627	token_subset_broader	0.75	review			66
Behcet's Disease	10004213	MONDO:0007191	Behcet disease	D001528	meddra_xref	0.8	confirmed	yes		65
Periodontal disease	10034536	MONDO:0002635	periodontal disorder	D010510	mondo_exact_synonym	0.95	confirmed			65
Gastric carcinoma	10017758	MONDO:0004950	gastric carcinoma		mondo_label	1.0	confirmed			64
Pulmonary tubercolosis	10037440	MONDO:0006052	pulmonary tuberculosis	D014397	fuzzy_suggestion	0.6	review			62
Primary sclerosing cholangitis	10008609	MONDO:0013433	primary sclerosing cholangitis		mondo_label	1.0	confirmed			61
Atopic dermatitis	10012438	MONDO:0004980	atopic eczema	D003876	mondo_exact_synonym	0.95	confirmed			60
Edentulism	10050585				UNMAPPED	0.0	unmapped			59
Pancreatic cancer	10033609	MONDO:0009831	malignant pancreatic neoplasm		mondo_exact_synonym	0.95	confirmed			57
Inflammatory Bowel Disease	10021972	MONDO:0005265	inflammatory bowel disease	D015212	mondo_label	1.0	confirmed			55
Acne	10000496	MONDO:0011438	acne		mondo_label	1.0	confirmed			55
Alzheimer's Disease	10012271	MONDO:0004975	Alzheimer disease	C536597|D000544	mondo_exact_synonym	0.95	confirmed			54
